OrgSize_Empl219,WorkWeekHrs,YearsCodePro,Age1stCode,Country_Canada,Age,JobFactors_Idealist,LanguageWorkedWith_C,Country_Netherlands,Country_Finland,Country_France,ConvertedComp
1,45.0,13.297435897435898,16.0,0,36.0,0,0,1,0,0,59454.0
1,60.0,12.0,8.0,0,46.0,0,0,0,0,0,129718.0
0,35.0,3.0,18.0,0,26.0,0,0,0,0,0,3120.0
1,38.55821205821206,0.0,12.0,0,25.0,0,1,0,0,0,46482.0
0,55.0,1.0,14.0,1,20.0,1,0,0,0,0,30376.0
0,40.0,5.0,8.0,0,30.0,0,0,0,0,0,91593.0
0,38.0,4.0,13.0,0,29.0,0,1,0,0,0,73655.0
1,42.0,6.0,18.0,0,31.0,0,0,0,0,0,129259.0
0,40.0,1.0,33.0,1,39.0,0,0,0,0,0,36324.0
1,40.0,19.0,9.0,0,43.0,0,0,0,0,1,80471.0
0,37.5,7.0,17.0,0,30.0,0,0,0,0,0,48413.0
1,41.0,5.0,14.0,0,28.0,0,1,0,0,0,80371.0
1,40.0,6.0,12.0,1,21.0,1,0,0,0,0,16500.0
1,40.0,3.0,17.0,0,24.0,0,0,0,0,0,41986.0
0,38.0,6.0,10.0,0,30.0,0,0,0,0,0,45396.0
0,40.0,4.0,12.0,0,23.0,0,0,0,0,0,58167.0
0,50.0,5.0,11.0,0,29.0,0,1,1,0,0,103117.0
0,20.0,0.0,10.0,0,31.0,0,1,0,0,0,13752.0
0,40.0,2.0,17.0,0,27.0,0,0,0,0,0,56724.0
1,40.0,4.0,15.0,1,32.0,0,1,0,0,0,41597.0
1,45.0,6.0,6.0,1,30.0,0,0,0,0,0,64860.0
0,40.0,18.0,19.0,0,37.0,0,0,0,0,0,54996.0
0,8.0,5.0,18.0,1,26.0,0,0,0,0,0,68748.0
0,37.5,10.0,10.0,0,38.0,0,0,0,0,0,59459.0
0,50.0,20.0,16.0,0,41.0,1,1,0,0,0,111220.0
0,44.0,22.0,15.0,0,46.0,0,0,0,0,0,108846.0
0,40.35565476190476,14.0,14.0,0,39.0,1,0,0,0,0,69183.0
0,32.0,12.0,12.0,0,36.0,0,0,0,0,0,82488.0
1,45.0,4.0,19.0,0,28.0,0,1,0,0,0,37620.0
1,30.0,3.0,13.0,0,25.0,0,0,0,0,0,35748.0
0,37.5,6.0,13.0,0,29.0,1,1,0,0,0,65922.0
0,35.0,4.0,19.0,0,25.0,0,0,0,0,0,36664.0
1,50.0,15.0,13.0,0,39.0,0,0,0,0,0,114575.0
0,38.0,20.0,8.0,0,36.0,0,0,1,0,0,63016.0
0,45.0,1.0,27.0,0,31.0,1,0,1,0,0,28536.0
0,37.5,18.0,18.0,0,50.0,0,0,0,0,0,72522.0
0,40.0,3.0,21.0,0,27.0,0,0,1,0,0,68745.0
0,45.0,3.0,15.0,0,30.0,1,0,1,0,0,44595.0
0,37.5,31.0,13.0,0,52.0,1,1,0,0,1,86976.0
0,38.0,14.0,14.0,0,35.0,0,1,0,0,0,74474.0
0,45.0,6.0,12.0,0,31.0,0,1,0,0,0,54996.0
0,33.0,2.0,12.0,0,30.0,1,1,0,0,0,39254.0
0,45.0,2.0,11.0,0,36.0,0,1,0,0,0,51887.0
0,42.0,3.0,17.0,0,41.0,0,0,0,0,0,45396.0
0,45.0,6.0,16.0,0,36.0,0,0,1,0,0,41247.0
0,40.0,2.0,23.0,0,25.0,0,1,0,0,1,68748.0
0,40.0,12.0,11.0,1,28.0,0,1,0,0,0,54996.0
0,35.0,14.0,12.0,0,32.0,1,1,0,0,0,91660.0
0,40.0,2.0,18.0,0,25.0,0,0,0,0,1,58881.0
0,40.0,0.0,18.0,0,24.0,0,1,0,0,0,59579.0
0,38.0,23.0,8.0,0,41.0,0,0,0,1,0,84312.0
0,45.0,30.0,16.0,0,57.0,0,0,0,0,0,160405.0
0,36.0,9.0,10.0,0,29.0,1,0,0,0,1,59454.0
0,37.5,2.0,14.0,0,24.0,1,0,0,0,1,32712.0
0,40.0,13.0,10.0,0,34.0,1,1,0,0,1,129259.0
1,40.0,5.0,13.0,0,24.0,0,0,0,0,0,47778.0
0,35.0,7.0,14.0,0,30.0,0,1,0,0,1,67178.0
0,35.0,2.0,8.0,1,30.0,0,1,0,0,0,27492.0
0,45.0,7.0,8.0,0,22.0,0,0,0,0,0,129718.0
1,30.0,3.0,16.0,0,53.0,0,1,0,0,0,30935.0
0,42.0,7.0,14.0,0,34.0,0,1,0,0,0,96243.0
0,40.0,9.0,13.0,0,31.0,0,1,0,0,1,76.0
1,37.5,5.0,11.0,0,30.0,0,0,0,0,0,58881.0
0,37.0,5.0,25.0,0,46.0,0,1,0,0,0,37485.0
0,40.0,25.0,12.0,0,43.0,0,0,0,0,0,137390.0
0,40.0,0.0,15.0,0,28.0,0,0,0,0,0,49620.0
0,37.5,9.0,13.0,0,32.0,0,1,0,0,1,39254.0
0,45.0,40.0,16.0,0,63.0,0,1,0,0,1,91593.0
1,50.0,21.0,14.0,0,40.0,0,0,0,0,0,103776.0
0,40.0,2.0,12.0,1,24.0,0,0,0,0,0,49620.0
0,34.0,11.0,8.0,0,39.0,1,1,0,0,1,92964.0
0,35.0,0.0,15.0,1,26.0,1,0,0,0,0,45803.0
0,40.0,33.0,14.0,0,55.0,0,0,0,0,0,109992.0
