ConvertedComp,Prediction
46704.0,63447.693733371874
48644.0,60305.31955394597
50806.0,52726.24412562434
82726.0,59213.676535842285
75669.0,56713.434375805155
36753.0,44755.51469450157
77831.0,89556.50364270413
51888.0,67050.54335814263
19452.0,89371.29574561282
59454.0,95325.87340772297
129259.0,60160.951285923366
75669.0,63702.93630292589
90804.0,74005.15532508318
42656.0,50422.05648479656
85397.0,60885.46255551559
45396.0,42593.81115422552
109871.0,57191.05850944866
62697.0,52567.99977534749
62697.0,60610.403070610235
27888.0,56220.09768317517
56211.0,59372.2547557267
70264.0,83758.26682476597
116333.0,49980.1995613569
70264.0,61258.24307785276
174500.0,96357.00297829005
80141.0,61760.26683626351
4536.0,27401.205889270408
54049.0,62413.64112093149
51888.0,83650.71077569306
65043.0,69029.31278701985
104959.0,58965.95679697358
35550.0,42390.378783583124
71093.0,84284.35329015
41077.0,46461.228009369785
36193.0,46721.55209275681
45241.0,98207.23788191075
74970.0,38274.39639061142
68507.0,54528.057069332586
35925.0,51404.01046250051
51704.0,50107.29864656088
75669.0,81630.79624079209
137350.0,67219.36252952281
41508.0,59966.406377216525
84019.0,73960.28409492911
61476.0,61759.87168684087
45241.0,54588.155688300074
180963.0,64634.806088307094
86478.0,60405.801063280196
90482.0,81947.50555807851
60505.0,51130.50784044005
51704.0,70179.20008736722
162147.0,118334.49256769368
55128.0,63068.79078652758
58167.0,71835.51250492746
34900.0,48923.99844171904
77831.0,59905.530980122596
64630.0,80017.72255780286
51704.0,70950.51393464302
120211.0,59949.12689612741
70264.0,65587.34550841524
58167.0,73199.20350399369
27144.0,52856.12224846274
70264.0,69562.75058230819
64859.0,52954.97990315239
25852.0,75113.11257400645
67021.0,58265.83118497066
58167.0,73083.5248236774
32961.0,48417.911017444065
70264.0,63944.866566675526
1560.0,48052.583607829634
34900.0,70435.89158194832
54049.0,69755.30225783792
70264.0,80182.5209986743
45241.0,63759.89224690199
45241.0,47903.17909012929
28105.0,47367.709675301005
49725.0,50462.36686750864
45241.0,66620.47211847489
86478.0,65035.24530445958
86478.0,83904.76371102294
94586.0,62931.35754290442
58167.0,74341.86302403771
51704.0,55048.12586745159
12.0,68678.91299380103
77831.0,63808.428768175
59454.0,80119.77198896353
87828.0,65238.85504724271
32429.0,83908.36495192125
51347.0,54001.20225907987
129720.0,88686.10429727302
101649.0,65015.134141764414
42804.0,50843.10710110188
38388.0,63217.366618783555
32315.0,44916.17762346735
64859.0,58720.267560319
86478.0,85707.84300083786
41880.0,79346.57200523134
25852.0,57199.64036210116
51888.0,74260.16574777747
51704.0,32401.295675727186
54289.0,92747.76384360374
58368.0,57630.12997526595
67021.0,55846.21424495435
38778.0,46849.88282453149
40070.0,43724.372664858274
99450.0,89169.31357127623
67861.0,45356.095624930545
129259.0,72725.58324957284
54049.0,60992.60424939545
67021.0,78519.05022771086
47563.0,57696.08928657059
97288.0,83013.05981407703
84707.0,87149.06286207621
43672.0,48188.432756290975
25944.0,69094.98650955904
51888.0,74509.06361507083
28536.0,55501.282439751034
68102.0,54489.83722512431
69396.0,85553.75232224743
71345.0,65950.26288791349
41363.0,61648.17880986217
56211.0,59226.74638042994
51887.0,56829.52262860822
172957.0,72656.76548255581
77556.0,54977.530869158625
45379.0,39482.57655953035
55130.0,61185.8094831127
38778.0,50306.133867009165
116333.0,76762.63113028424
129259.0,69173.77254000554
52996.0,47303.43198551558
38916.0,52785.53496439206
59454.0,90740.2701288876
81074.0,93087.93623026705
38915.0,46096.43236458233
75669.0,63170.15229114566
54049.0,50611.49568947409
109355.0,57965.725324805455
42804.0,49967.360469844134
63337.0,95465.14887763592
28536.0,51184.07394174204
84019.0,53690.56791378951
79993.0,57220.75774243159
44320.0,48834.68383590974
43239.0,58611.51233380416
51704.0,50108.37963511416
73020.0,75438.39979043619
59454.0,63924.56472016386
40717.0,51308.04924638335
75669.0,63161.32883512099
90482.0,78563.2756517284
66156.0,80982.48041160878
2592.0,48266.23147114243
54049.0,53667.117768371994
58368.0,68072.47434377995
96945.0,78074.88206373557
41508.0,58951.68689552458
73507.0,76346.41164388903
64630.0,58978.89728937508
34380.0,65097.41679310816
43452.0,56818.6056558435
64630.0,90913.80662358153
46891.0,50793.32538451972
43239.0,78969.81521385371
10380.0,48134.4073302382
38772.0,105959.60427896182
59454.0,60708.08157743433
25852.0,42244.809343496985
45241.0,55874.660387832155
75669.0,56759.60338407747
70044.0,62279.544555477354
139162.0,63055.83636987188
55128.0,50309.762926437004
46533.0,83668.79526700987
18355.0,49838.362466985425
70264.0,59958.04148709875
10810.0,48330.86033613293
64859.0,60626.18334085294
19452.0,51832.93623926125
49296.0,47622.60364156364
44320.0,55365.49842475862
54049.0,53059.19375820128
75669.0,61841.98348143488
56629.0,54977.6348041391
34591.0,50103.034698858784
32429.0,47146.71993136281
32315.0,43591.622405450886
45401.0,65969.9329660562
57292.0,73199.92732752881
81074.0,58395.70895779264
108098.0,81479.6972303057
32424.0,41415.87971539735
43948.0,55192.935641436256
38778.0,47657.139630133395
60535.0,59451.16848368704
71093.0,62858.43068272147
86976.0,69704.34409293726
63564.0,56457.699593635465
148648.0,64454.31389319395
83236.0,68310.21326331596
76750.0,98807.63020830577
22956.0,63094.1832560918
77556.0,67420.0687748752
48795.0,49148.42054497616
54049.0,45875.63768155308
51704.0,57176.33221714986
35028.0,47727.69594200136
54480.0,61334.385315368665
75669.0,83485.85154584431
79413.0,66273.92036083959
45241.0,61455.380486936985
71093.0,67714.99826974473
42699.0,58577.873916230645
90802.0,54810.00346845048
54289.0,61849.07812699024
29832.0,29114.46640165798
65147.0,108221.56536338893
54049.0,46342.471824578235
40070.0,85709.96891046637
54288.0,87283.48989593211
155111.0,105034.91325475927
59749.0,49423.52641565249
62688.0,71090.0722070719
12408.0,69846.92267966653
25272.0,49851.292468124244
52942.0,47094.709959495674
34591.0,43100.02317662358
64859.0,48624.11705358801
77832.0,110975.3769618486
12972.0,42825.43362480937
36720.0,62273.638313306925
90482.0,60140.557073625845
135100.0,60599.3390353163
60752.0,23734.812621267683
36753.0,49674.03853205462
41508.0,56214.55669690789
32424.0,49299.37890883458
116333.0,54030.15435915419
86478.0,52068.69700659689
